Year,GEO,RATE_Professional occupations in education services [40]#Persons#thousands#14100312_StatsCanada,RATE_Transport and heavy equipment operation and related maintenance occupations [75]#Persons#thousands#14100312_StatsCanada,"RATE_Paraprofessional occupations in legal, social, community and education services [42]#Persons#thousands#14100312_StatsCanada",RATE_Middle management occupations in retail and wholesale trade and customer services [06]#Persons#thousands#14100312_StatsCanada,RATE_Office support occupations [14]#Persons#thousands#14100312_StatsCanada,RATE_Retail sales supervisors and specialized sales occupations [62]#Persons#thousands#14100312_StatsCanada
2001,"Abitibi-Témiscamingue, Quebec",3,4.6,,2.8,2.5,
2001,Alberta,61.9,74,32.5,66.4,86.5,44.9
2001,"Annapolis Valley, Nova Scotia",2.2,2.8,1.2,2.1,2.2,1.6
2001,"Avalon Peninsula, Newfoundland and Labrador",6.8,2.9,1.6,3.9,7.8,3.2
2001,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",3.9,12.3,2.3,6.3,5.7,4.3
2001,"Bas-Saint-Laurent, Quebec",5.3,4.4,2.5,3.6,3.4,2.2
2001,British Columbia,74.2,69.4,33.3,88.6,110.2,60.3
2001,"Calgary, Alberta",19.9,18.7,12.6,22.6,36.7,19
2001,"Campbellton-Miramichi, New Brunswick",2.4,3.6,1,2.4,2.4,2
2001,"Camrose-Drumheller, Alberta",2.5,6.3,,4.6,3.1,1.9
2001,Canada,577.5,553.8,303.2,615.5,820.1,413.5
2001,"Cape Breton, Nova Scotia",2.4,2.5,0.6,2.8,1.9,1.3
2001,"Capitale-Nationale, Quebec",11,9.4,8.7,8.3,16.3,8.6
2001,"Cariboo, British Columbia",3.2,3.5,1.5,3.1,2.6,2.6
2001,"Centre-du-Québec, Quebec",2.1,4.9,2.5,3.8,3.5,2.5
2001,"Chaudière-Appalaches, Quebec",7.7,6.9,4.7,6.3,6.5,4.9
2001,"Côte-Nord and Nord-du-Québec, Quebec",1.6,2.8,2.2,1.7,1.7,
2001,"Edmonton, Alberta",26.2,20.6,11.1,24.1,30.5,14.5
2001,"Edmundston-Woodstock, New Brunswick",1.3,1.9,0.5,1.5,0.9,0.8
2001,"Estrie, Quebec",6.7,5.6,3.1,4.3,4.3,1.9
2001,"Fredericton-Oromocto, New Brunswick",2.9,2.5,0.9,2.9,3,1.1
2001,"Gaspésie-Îles-de-la-Madeleine, Quebec",1.8,,,,,
2001,"Halifax, Nova Scotia",8.3,5.7,3.5,6.8,11.2,5.8
2001,"Hamilton-Niagara Peninsula, Ontario",26.4,24.7,11.8,28.1,34.5,19.2
2001,"Interlake, Manitoba",1.2,2,0.5,2,2.2,1
2001,"Kingston-Pembroke, Ontario",11,8.1,3.2,10.1,8.4,3.9
2001,"Kitchener-Waterloo-Barrie, Ontario",20,22.6,10.2,20,27.1,15.1
2001,"Kootenay, British Columbia",2.7,3.7,,4.1,3.6,1.5
2001,"Lanaudière, Quebec",7.1,10.1,5.3,5.5,8.7,6.6
2001,"Laurentides, Quebec",8.1,9.9,6.5,12,8.6,6.1
2001,"Laval, Quebec",5.6,4.9,5.8,9.4,9.1,3.8
2001,"Lethbridge-Medicine Hat, Alberta",4.2,7.4,2.1,5.1,3.9,2.2
2001,"London, Ontario",13.5,11.6,5.8,11.3,13.5,8.3
2001,"Lower Mainland-Southwest, British Columbia",42.7,37.1,19.5,52.5,74,40.2
2001,Manitoba,22.5,21.2,11.6,20.7,35.6,11.7
2001,"Mauricie, Quebec",5.3,4.9,2.5,4.7,4.7,2.8
2001,"Moncton-Richibucto, New Brunswick",3.1,4.2,0.9,3.2,5,3.2
2001,"Montréal, Quebec",35.4,14.6,19.3,39.6,53.2,23.8
2001,"Montérégie, Quebec",23.3,31.7,14.9,24.9,33.4,17.1
2001,"Muskoka-Kawarthas, Ontario",6.1,4.4,5.1,6.2,5.2,4.5
2001,New Brunswick,12.4,15.2,4.6,13,15.4,9.2
2001,Newfoundland and Labrador,10.4,8.7,3.4,7.5,11,4.9
2001,"North Coast and Nechako, British Columbia",2,2.6,,2.8,1.9,
2001,"North Shore, Nova Scotia",2.5,3.4,1,2.4,3.1,1.1
2001,"Northeast, British Columbia",,2.6,,,,
2001,"Northeast, Ontario",10.9,14,5.1,12.1,10.8,5.9
2001,"Northwest, Ontario",4.3,5.2,2.6,2.9,4.7,2.7
2001,Nova Scotia,17.5,16.6,7.4,16.2,19.7,10.8
2001,Ontario,220.8,198.9,112.7,244.8,344,170
2001,"Ottawa, Ontario",26.3,18.4,14,22.4,36,14.2
2001,"Outaouais, Quebec",5.8,5.1,4.6,3.9,13.4,2.5
2001,"Parklands and North, Manitoba",1.5,1.7,1.1,1.7,1.3,
2001,"Prince Albert and Northern, Saskatchewan",3.8,4.7,1.6,4,2.7,1.8
2001,Prince Edward Island,2.5,2.7,1.3,2.9,3.2,1.1
2001,Quebec,137.3,127.7,88.4,135.8,174.2,87.9
2001,"Red Deer, Alberta",2.4,4.4,2.3,2.5,3.9,1.9
2001,"Regina-Moose Mountain, Saskatchewan",5.1,5.3,2.4,6,8.5,4.4
2001,"Saguenay-Lac-Saint-Jean, Quebec",7.5,6.8,3.4,3.6,3.9,2.7
2001,"Saint John-St. Stephen, New Brunswick",2.7,3,1.3,3.1,4.2,2.2
2001,Saskatchewan,18.1,19.3,8,19.6,20.3,12.6
2001,"Saskatoon-Biggar, Saskatchewan",6.6,6.1,2.6,6.2,6.5,4.5
2001,"South Central and North Central, Manitoba",1.4,1.9,0.6,1.7,1.9,1
2001,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.9,3.5,0.9,1.9,1.4,0.9
2001,"Southeast, Manitoba",1.3,2.6,0.8,1.5,2.4,1.1
2001,"Southern, Nova Scotia",2.1,2.1,1,2.1,1.3,1.1
2001,"Southwest, Manitoba",2.1,2.1,1.1,1.9,2.1,1.6
2001,"Stratford-Bruce Peninsula, Ontario",3.7,5.7,3.1,8.5,4.6,5
2001,"Swift Current-Moose Jaw, Saskatchewan",1.7,1.9,0.6,2,1.7,1
2001,"Thompson-Okanagan, British Columbia",9.5,9.4,2.8,11.2,9.7,6.3
2001,"Toronto, Ontario",87.4,73.3,47.2,113.8,186.9,84.1
2001,"Vancouver Island and Coast, British Columbia",13.2,10.6,7.4,13.7,17,8.4
2001,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.6,2.4,0.9,1.7,1.8,0.9
2001,"Windsor-Sarnia, Ontario",11.1,10.8,4.7,9.5,12.2,7.1
2001,"Winnipeg, Manitoba",15,10.9,7.6,11.9,25.6,6.7
2001,"Wood Buffalo-Cold Lake, Alberta",2.8,4.3,,,2.5,
2001,"Yorkton-Melville, Saskatchewan",1,1.2,0.8,1.4,0.9,0.9
2002,"Abitibi-Témiscamingue, Quebec",2.6,3.8,2,2.3,2.3,
2002,Alberta,63.3,73,29.3,68.8,91,49.2
2002,"Annapolis Valley, Nova Scotia",2.1,2.3,1.3,2.6,2.1,1.4
2002,"Avalon Peninsula, Newfoundland and Labrador",4.8,3.6,1.6,3.7,7.6,2.6
2002,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4.5,12.1,2,6.5,5.5,3.9
2002,"Bas-Saint-Laurent, Quebec",3.8,3.8,2.9,4,2.9,
2002,British Columbia,75.2,72.7,38.7,86.5,106.3,62.4
2002,"Calgary, Alberta",20,23.5,11,25.6,38.6,18.4
2002,"Campbellton-Miramichi, New Brunswick",2.5,3,0.8,2.6,2.1,0.9
2002,"Camrose-Drumheller, Alberta",2.5,5.1,,5,5.4,1.8
2002,Canada,581.9,570.6,311.6,609,819.9,412.5
2002,"Cape Breton, Nova Scotia",2.6,2,1,2.1,1.5,1
2002,"Capitale-Nationale, Quebec",17.1,12.3,9.7,9.8,16,7.1
2002,"Cariboo, British Columbia",1.8,5.4,2,2.6,4.1,
2002,"Centre-du-Québec, Quebec",2.1,5.1,2.5,4.1,2.3,1.9
2002,"Chaudière-Appalaches, Quebec",6.8,8.8,4.8,6.7,6.5,5.1
2002,"Côte-Nord and Nord-du-Québec, Quebec",2.6,2.8,1.9,1.7,2,
2002,"Edmonton, Alberta",25.7,18.9,10.9,20.7,31.2,18.9
2002,"Edmundston-Woodstock, New Brunswick",0.8,2.4,0.9,1.9,1,0.6
2002,"Estrie, Quebec",8.1,4.5,3.7,5,4.1,2.8
2002,"Fredericton-Oromocto, New Brunswick",3,2.5,1.2,2.9,3.9,0.9
2002,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,1.7,1.5,,
2002,"Halifax, Nova Scotia",8.6,5.7,3.2,7.6,11.6,7.2
2002,"Hamilton-Niagara Peninsula, Ontario",25.5,23.2,9.8,28.8,27.6,20.2
2002,"Interlake, Manitoba",1.4,1.9,0.6,1.8,2,0.9
2002,"Kingston-Pembroke, Ontario",7.6,9.6,5.9,9.8,10.6,3.4
2002,"Kitchener-Waterloo-Barrie, Ontario",23.1,19.1,11.5,22.2,27.6,16.4
2002,"Kootenay, British Columbia",3,3.2,,6,2.1,2.1
2002,"Lanaudière, Quebec",5.4,11,4.5,7.9,10.2,4.8
2002,"Laurentides, Quebec",9.1,7.7,5.7,12.2,9.9,5.8
2002,"Laval, Quebec",3.6,7.3,5,7.2,11.2,5.8
2002,"Lethbridge-Medicine Hat, Alberta",3.7,5.6,2.1,5.4,4.5,2.5
2002,"London, Ontario",11.9,12,5.9,11.1,15.5,8.8
2002,"Lower Mainland-Southwest, British Columbia",48.5,38.1,23.3,49.1,71.9,40.9
2002,Manitoba,21,22.2,10,20.8,35.5,12.9
2002,"Mauricie, Quebec",4.2,4.7,2.5,4.1,4.3,2.4
2002,"Moncton-Richibucto, New Brunswick",3.2,3.9,1,3.5,6.2,3.4
2002,"Montréal, Quebec",40.6,17.2,18.4,32.3,53.7,20.6
2002,"Montérégie, Quebec",24.4,27.2,18.8,21.7,31.7,19.2
2002,"Muskoka-Kawarthas, Ontario",3.7,10.8,4,6.4,5.6,4.6
2002,New Brunswick,12.4,15.1,5.3,13.5,17.4,7.6
2002,Newfoundland and Labrador,9.5,9.5,3,7.5,11.7,4.7
2002,"North Coast and Nechako, British Columbia",2.1,2.2,,1.7,2.2,
2002,"North Shore, Nova Scotia",2.7,3.8,0.9,2.4,2.7,1.8
2002,"Northeast, British Columbia",,2.3,,,,
2002,"Northeast, Ontario",11,11.6,6,11.3,11.8,6.2
2002,"Northwest, Ontario",4.8,5.5,2.6,3.6,4.3,2.5
2002,Nova Scotia,17.6,16.1,7.3,17.3,19.9,12.9
2002,Ontario,218,211.1,116.9,242.5,336.8,165.1
2002,"Ottawa, Ontario",21.9,16.9,15.7,17.4,36.5,15.4
2002,"Outaouais, Quebec",6.7,5.3,3.8,5.7,12.4,2.8
2002,"Parklands and North, Manitoba",1.4,1.5,0.8,1.8,1.1,0.8
2002,"Prince Albert and Northern, Saskatchewan",3.9,4.1,1.6,4.1,3.8,1.9
2002,Prince Edward Island,2.4,2.4,1.4,2.7,3.8,1.2
2002,Quebec,144.2,130,92.1,129.7,174.8,84.5
2002,"Red Deer, Alberta",3.7,3.7,1.6,3,3.2,2.3
2002,"Regina-Moose Mountain, Saskatchewan",5,5.1,2.2,5.7,9.7,3.8
2002,"Saguenay-Lac-Saint-Jean, Quebec",5.9,7.4,4.2,3.6,4,2.4
2002,"Saint John-St. Stephen, New Brunswick",2.9,3.3,1.5,2.7,4.2,1.9
2002,Saskatchewan,18.4,18.7,7.5,19.6,22.6,11.9
2002,"Saskatoon-Biggar, Saskatchewan",6.8,5,2.6,5.3,7.1,4.2
2002,"South Central and North Central, Manitoba",1.4,2.9,0.8,1.7,1.7,0.9
2002,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",2.5,4,0.6,2,2.4,1.2
2002,"Southeast, Manitoba",1.2,2.6,0.8,1.3,2.5,0.5
2002,"Southern, Nova Scotia",1.7,2.3,0.9,2.5,1.9,1.4
2002,"Southwest, Manitoba",2.2,2.3,0.5,2,2.6,1.4
2002,"Stratford-Bruce Peninsula, Ontario",4.5,4.8,,7.1,7.3,5.6
2002,"Swift Current-Moose Jaw, Saskatchewan",1.8,2.5,0.7,2.6,1.1,0.9
2002,"Thompson-Okanagan, British Columbia",7,10.4,3.8,11.6,8.9,6.8
2002,"Toronto, Ontario",93,85.9,49.2,113.6,178.6,75.6
2002,"Vancouver Island and Coast, British Columbia",12.3,11.1,6.4,14,16,9.5
2002,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",2.1,1.9,0.7,1.8,1.7,0.9
2002,"Windsor-Sarnia, Ontario",11.1,11.7,4.9,11.3,11.4,6.3
2002,"Winnipeg, Manitoba",13.4,10.9,6.5,12.3,25.6,8.3
2002,"Wood Buffalo-Cold Lake, Alberta",3.2,4.2,,2.5,2.6,
2002,"Yorkton-Melville, Saskatchewan",1,2,,1.9,0.9,1
2003,"Abitibi-Témiscamingue, Quebec",3,3.5,2,2,3,1.6
2003,Alberta,56.8,77.8,33.4,62.9,97.6,51.8
2003,"Annapolis Valley, Nova Scotia",2.6,3.2,1.2,2.5,2,1.3
2003,"Avalon Peninsula, Newfoundland and Labrador",5.4,3.7,1.7,5,7,2.4
2003,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",3.4,12.8,3,6.4,5.5,3.5
2003,"Bas-Saint-Laurent, Quebec",3.5,3.9,3.1,3.1,2.9,1.7
2003,British Columbia,79.6,75.7,37,88.9,106.6,60.3
2003,"Calgary, Alberta",16.6,21.7,11.5,20.3,43.3,22.8
2003,"Campbellton-Miramichi, New Brunswick",1.9,3,0.7,2,3,1.4
2003,"Camrose-Drumheller, Alberta",4.3,5.8,,5.7,4.1,1.6
2003,Canada,595.2,586.6,324.6,609.3,840,442
2003,"Cape Breton, Nova Scotia",2.5,1.7,0.7,1.7,1.6,0.9
2003,"Capitale-Nationale, Quebec",18.9,12.5,10.8,11.3,16.9,6.8
2003,"Cariboo, British Columbia",2.2,4.5,1.7,2.3,4.6,
2003,"Centre-du-Québec, Quebec",3.1,5,3.1,4.6,4.1,4.3
2003,"Chaudière-Appalaches, Quebec",6.6,8.5,5.9,6,6.9,5.4
2003,"Côte-Nord and Nord-du-Québec, Quebec",2.8,3.2,1.6,,1.7,
2003,"Edmonton, Alberta",23.8,22.5,11.7,20.4,34.1,16.8
2003,"Edmundston-Woodstock, New Brunswick",1.1,1.9,0.6,1.7,1.4,0.5
2003,"Estrie, Quebec",7.5,5.3,4.1,5,6,2.1
2003,"Fredericton-Oromocto, New Brunswick",3,2.8,1.6,2.3,3.9,1.7
2003,"Gaspésie-Îles-de-la-Madeleine, Quebec",1.5,1.6,,1.6,,
2003,"Halifax, Nova Scotia",9.8,5.9,4.2,7.2,11.6,6.3
2003,"Hamilton-Niagara Peninsula, Ontario",23.3,24.1,10.8,26,32.8,22.1
2003,"Interlake, Manitoba",1.3,2.2,0.7,1.8,2.6,0.9
2003,"Kingston-Pembroke, Ontario",9.6,8.2,5.7,7.9,11,5.1
2003,"Kitchener-Waterloo-Barrie, Ontario",19.6,21.2,11.6,18.3,27.9,20.6
2003,"Kootenay, British Columbia",2.8,3.5,1.7,4.1,2,2.3
2003,"Lanaudière, Quebec",7.4,8.6,6,5,10.3,7.9
2003,"Laurentides, Quebec",8.8,9.5,6.4,11.7,11.6,7.5
2003,"Laval, Quebec",5.2,6.5,4.4,6.9,9.6,5.5
2003,"Lethbridge-Medicine Hat, Alberta",3.6,6.2,3.4,3.6,4.9,3.4
2003,"London, Ontario",12.6,12,8.6,12.8,17.9,8.5
2003,"Lower Mainland-Southwest, British Columbia",50.5,40.1,22,51.3,71.8,41.2
2003,Manitoba,21.6,21.8,11.7,22.1,35.4,14.1
2003,"Mauricie, Quebec",5,5.6,2.7,4.6,4.7,2.4
2003,"Moncton-Richibucto, New Brunswick",3.7,3.7,1.1,3.8,5.6,2.6
2003,"Montréal, Quebec",42,21.2,25.5,35.1,52.7,26.9
2003,"Montérégie, Quebec",24.1,28.9,14.3,24.1,36.3,15.5
2003,"Muskoka-Kawarthas, Ontario",5,9.6,3.2,7.7,6.3,3.3
2003,New Brunswick,12,14.4,5.6,12.5,18.2,8.4
2003,Newfoundland and Labrador,9.7,9,3.2,9.8,10.7,5
2003,"North Coast and Nechako, British Columbia",1.9,2.4,,,1.8,
2003,"North Shore, Nova Scotia",2.4,4.2,0.7,2.4,3.5,1.9
2003,"Northeast, British Columbia",,3.7,,,,
2003,"Northeast, Ontario",10.6,13.2,7.1,9.5,11.3,6.2
2003,"Northwest, Ontario",5.1,5.4,2.4,4.8,6.5,2.8
2003,Nova Scotia,19.1,17.1,7.6,16,20.7,11.6
2003,Ontario,218.8,213.8,116.5,242,339.9,179.7
2003,"Ottawa, Ontario",24.2,20,13.7,20.7,38.2,13.9
2003,"Outaouais, Quebec",7.1,5.6,4.1,5.4,12.3,4.2
2003,"Parklands and North, Manitoba",1.8,1.5,0.9,1.7,1.2,0.9
2003,"Prince Albert and Northern, Saskatchewan",3.8,4.1,2.1,4.5,3.7,2.2
2003,Prince Edward Island,2.6,2.6,1.1,2.6,3.4,1.3
2003,Quebec,153.4,136,100,131.9,184.3,95.3
2003,"Red Deer, Alberta",2.6,4.5,2,4.2,3.5,2.6
2003,"Regina-Moose Mountain, Saskatchewan",6.2,4.9,2.4,6.3,9.1,4.9
2003,"Saguenay-Lac-Saint-Jean, Quebec",6.8,6.9,5,4.3,4.3,2.2
2003,"Saint John-St. Stephen, New Brunswick",2.4,3.1,1.7,2.6,4.3,2.2
2003,Saskatchewan,21.4,18.3,8.3,20.6,23.1,14.4
2003,"Saskatoon-Biggar, Saskatchewan",7.9,5.6,2.6,6,7.1,4.4
2003,"South Central and North Central, Manitoba",1.2,2.2,1,1.6,1.8,0.9
2003,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.8,3.3,0.7,2.6,2.1,1.7
2003,"Southeast, Manitoba",1.3,3.2,1.5,1.8,2.8,0.8
2003,"Southern, Nova Scotia",1.9,2.1,0.8,2.3,2,1.3
2003,"Southwest, Manitoba",2.2,2.2,1,2.1,1.9,1.3
2003,"Stratford-Bruce Peninsula, Ontario",3.8,5.6,3.3,6.5,7.1,4.4
2003,"Swift Current-Moose Jaw, Saskatchewan",2.3,1.7,0.7,2.3,2,1.8
2003,"Thompson-Okanagan, British Columbia",8.3,11.3,3.9,12.9,8.6,5.3
2003,"Toronto, Ontario",92.5,82.3,45.3,116.1,171.3,86.1
2003,"Vancouver Island and Coast, British Columbia",12.5,10.2,5.9,15.9,16.5,8.3
2003,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",2.5,1.9,0.9,2.3,1.6,0.9
2003,"Windsor-Sarnia, Ontario",12.5,12.3,4.6,11.7,9.6,6.6
2003,"Winnipeg, Manitoba",13.9,10.4,6.6,13.1,25,9.3
2003,"Wood Buffalo-Cold Lake, Alberta",2.5,4.2,,2.3,2.2,
2003,"Yorkton-Melville, Saskatchewan",1.2,2,0.6,1.5,1,1.1
2004,"Abitibi-Témiscamingue, Quebec",3.2,4.5,2.2,1.8,2.5,
2004,Alberta,56.2,72.9,32.8,63.8,103,54.5
2004,"Annapolis Valley, Nova Scotia",3,2.7,0.9,2.3,2.9,1.1
2004,"Avalon Peninsula, Newfoundland and Labrador",5.8,2.9,1.6,3.8,7.5,3.7
2004,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4.4,12.9,3,6.5,6.3,4.4
2004,"Bas-Saint-Laurent, Quebec",4.4,5.1,3,3.1,3.6,1.9
2004,British Columbia,71.4,76.6,38.1,94,105,55.8
2004,"Calgary, Alberta",15.3,20,12.2,23.5,44.6,21.6
2004,"Campbellton-Miramichi, New Brunswick",2.6,3.2,1,2.1,2.7,1.1
2004,"Camrose-Drumheller, Alberta",3.5,5.4,,3.2,3.2,2.4
2004,Canada,595.2,589.7,305.6,620.1,874.9,436.9
2004,"Cape Breton, Nova Scotia",2.6,2.4,0.9,1.5,2,1.3
2004,"Capitale-Nationale, Quebec",15.5,13.5,7.6,11.6,14.2,7.7
2004,"Cariboo, British Columbia",1.8,4.9,,4.1,4.5,1.7
2004,"Centre-du-Québec, Quebec",2.9,5.7,2.8,4,3.9,3.2
2004,"Chaudière-Appalaches, Quebec",5.5,9.4,3.5,8.4,7.9,6
2004,"Côte-Nord and Nord-du-Québec, Quebec",3.4,2.3,1.5,2.1,2.1,
2004,"Edmonton, Alberta",22.9,20.4,11.6,19.6,39.5,18.3
2004,"Edmundston-Woodstock, New Brunswick",1.4,2.3,0.5,1.3,0.9,0.8
2004,"Estrie, Quebec",7,4.8,2.7,4.6,5.2,3.1
2004,"Fredericton-Oromocto, New Brunswick",3.1,2.4,1.5,2.1,4.1,2.1
2004,"Gaspésie-Îles-de-la-Madeleine, Quebec",,1.9,,,,
2004,"Halifax, Nova Scotia",10.2,6.1,3.3,8,12.4,6.7
2004,"Hamilton-Niagara Peninsula, Ontario",27.1,24.7,12.3,29.1,33.3,17.5
2004,"Interlake, Manitoba",1.6,2.2,0.9,1.5,1.9,1.1
2004,"Kingston-Pembroke, Ontario",8.2,9.8,5,8.8,9.6,4.4
2004,"Kitchener-Waterloo-Barrie, Ontario",24.1,20.8,9.9,22,29.8,16
2004,"Kootenay, British Columbia",,3.7,1.5,3.4,2.5,1.5
2004,"Lanaudière, Quebec",8.6,9.1,4.9,5.6,8.9,6.5
2004,"Laurentides, Quebec",10.2,10.5,6.9,13.8,13,8.5
2004,"Laval, Quebec",6.3,5.3,3.3,7.9,11.1,6.4
2004,"Lethbridge-Medicine Hat, Alberta",4.8,5.5,2.7,4.5,4.2,4
2004,"London, Ontario",13.4,14.1,6.3,13.2,18.8,8.2
2004,"Lower Mainland-Southwest, British Columbia",46.1,41.1,22.4,54,68.7,35.2
2004,Manitoba,22.3,21.2,13.1,19.7,37,13.8
2004,"Mauricie, Quebec",4.8,5.2,2.4,4.4,5,2.2
2004,"Moncton-Richibucto, New Brunswick",4.1,5,1.8,2.9,5.9,2.6
2004,"Montréal, Quebec",47.3,21.9,21.1,32.1,57.6,23.2
2004,"Montérégie, Quebec",22.7,26.1,17.5,20.4,42.5,17.4
2004,"Muskoka-Kawarthas, Ontario",7,7.6,3.9,9.9,7,4.4
2004,New Brunswick,14.2,16.2,6.6,11.1,18.2,8.7
2004,Newfoundland and Labrador,9.8,8.8,3,7.8,10.7,5.4
2004,"North Coast and Nechako, British Columbia",1.7,1.6,1.6,1.6,,
2004,"North Shore, Nova Scotia",3.3,4.4,1.4,2.2,3.6,1.3
2004,"Northeast, British Columbia",,2.8,,,,
2004,"Northeast, Ontario",10.5,11.3,4.6,12,11.9,6.8
2004,"Northwest, Ontario",5.1,6.2,3,4.4,6.1,2.4
2004,Nova Scotia,21.3,18,7.3,15.7,22.9,11.8
2004,Ontario,219,215.5,106.8,253.9,353.4,175.5
2004,"Ottawa, Ontario",22,16.7,11.6,22.8,35.5,16
2004,"Outaouais, Quebec",7.3,5.9,4.5,6.4,13.3,3.6
2004,"Parklands and North, Manitoba",2,2.1,0.7,1.6,1.2,0.8
2004,"Prince Albert and Northern, Saskatchewan",5.3,5,1.5,4,3.8,2.5
2004,Prince Edward Island,2.7,2.5,1.5,2.6,4,1.5
2004,Quebec,156.9,137.7,88.7,132,197,95.2
